"202","YOYO MEDELLÍN  UNICENTRO","LUZ ESTELLA OSPINA ","10","3113764961","yoyounicentro@yoyo.com.co"
"203","STOP MEDELLÍN  UNICENTRO","LUZ ESTELLA OSPINA ","10","3176394224","stopunicentro@stop.com.co"
"205","YOYO MEDELLÍN  LA 65","YENY BUSTAMANTE ","11","3216406350","ser205@stop.com.co"
"206","STOP CALDAS ","YENY BUSTAMANTE ","1","3176493230","stopcaldas@stop.com.co"
"207","STOP MEDELLÍN  MOLINOS","LUZ ESTELLA TIRADO ","11","3104174013","stopmolinos@stop.com.co"
"208","YOYO MEDELLÍN  MOLINOS","LUZ ESTELLA TIRADO ","2","3147006488","yoyomolinos@yoyo.com.co"
"212","STOP  BARRANQUILLA  AMERICANO","GLORIA GÓMEZ ","6","3113390215","stopamericano@stop.com.co"
"213","STOP BELLO  PUERTA DEL NORTE","LUZ ESTELLA OSPINA ","10","3113412262","stoppuertadelnorte@stop.com.co"
"215","YOYO BELLO PUERTA DEL NORTE","LUZ ESTELLA OSPINA ","10","3104394105","yoyopuertadelnorte@yoyo.com.co"
"216","YOYO MEDELLÍN  CAMINO REAL","LUZ ESTELLA TIRADO ","2","3176393441","yoyocaminoreal@yoyo.com.co"
"220","STOP MEDELLÍN  AVENIDA JUNÍN","LUZ ESTELLA TIRADO ","2","3176493255","stopavenidajunin@stop.com.co"
"224","YOYO RIONEGRO  SAN NICOLÁS","ESTELLA OSPINA ","10","3113415935","yoyosannicolas@yoyo.com.co"
"225","YOYO OUTLET MEDELLIN  VERACRUZ ","LUZ ESTELLA TIRADO ","2","3176393962","yoyooutveracruz@yoyo.com.co"
"226","YOYO SABANETA  CRA 45","YENY BUSTAMANTE ","1","3234835651","yoyosabanetacra45@yoyo.com.co"
"228","STOP EL ESPINAL ","HELLEN LOZANO","8","3116137824","stopespinal@stop.com.co"
"229","YOYO EL ESPINAL ","HELLEN LOZANO","8","3176355712","yoyoespinal@yoyo.com.co"
